Offense_Type,Category
CRIMINAL POSS OF PISTOL/REVOLVER      DF,Weapons
VIOLATION OF PROBATION OR COND DISCHG,Probation
CRIMINAL ATTEMPT,Attempt
CRIM VIOL OF PROTECTIVE ORDER         DF,Order
CRIM VIOL ST CRIM RESTR ORDER         DF,Order
"ASSAULT 2ND, VICTIM 60 OR OVER        DF",Person
INTERFERING WITH AN OFFICER           AM,Order
"LARCENY, SECOND DEGREE                CF",Property
MURDER                                AF,Person
"ASSAULT, SECOND DEGREE                DF",Person
ARREST WARRANT,Order
YOUTHFUL OFFENDER,Juvenile
"UNLAWFUL RESTRAINT, FIRST DEGREE      DF",Person
"LARCENY, FIRST DEGREE                 BF",Property
"CRIMINAL TRESPASS, THIRD DEGREE       CM",Property
"STALKING, 1ST DEGREE                  DF",Person
"BURGLARY, THIRD DEGREE                DF",Property
SALE OF NARC/AMPHET BY NON-DEPENDENT   F,Drugs
ASSAULT 2ND DEGREE WITH A FIREARM     DF,Person
"FORGERY, FIRST DEGREE                 CF",Person
JUVENILE TRANSFER,Juvenile
CONSPIRACY,Attempt
"SEXUAL ASSAULT, FIRST DEGREE           F",Person
ASSAULT ON POLICE OR FIRE OFFICER     CF,Person
"FORGERY, SECOND DEGREE                DF",Person
"ASSAULT 3RD DEGREE, VICTIM OVER 59    AM",Person
STEALING A FIREARM                    DF,Weapons
"SEXUAL ASSAULT, SECOND DEGREE          F",Person
CRIMINAL POSSESSION OF A PISTOL       DF,Weapons
"LARCENY, THIRD DEGREE                 DF",Property
"ROBBERY, FIRST DEGREE                 BF",Property
SEXUAL ASSAULT 1ST DEGREE-AGGRVTD      F,Person
HOME INVASION                         AF,Property
"BURGLARY, SECOND DEGREE               CF",Property
"SALE OF HEROIN, COC BY NON-DEPENDENT",Drugs
INJURY OR RISK OF INJURY TO MINOR      F,Person
"ARSON, FIRST DEGREE                   AF",Property
INCITING INJURY TO PERSONS OR PROPTY  CF,Person
STRANGULATION 3RD DEGREE,Person
"FAILURE TO APPEAR, FIRST DEGREE       DF",Order
CARRYING WEAPONS WITHOUT A PERMIT      F,Weapons
THREATENING                           AM,Person
"RECKLESS ENDANGERMENT, FIRST DEGREE   AM",Person
"ASSAULT, FIRST DEGREE                 BF",Person
"ASSAULT, 1ST VICTIM 60 OR OVER        BF",Person
"ROBBERY, THIRD DEGREE                 DF",Property
"LARCENY, FOURTH DEGREE                AM",Property
"HARASSMENT, 2ND DEGREE                CM",Person
SPECIAL PAROLE,Probation
VIOLATION OF CONDITIONS OF RELEASE,Probation
IDENTITY THEFT 2ND DEGREE             CF,Person
STRANGULATION 2ND DEGREE              DF,Person
VIOLATE COND OF RELEASE-2ND DEG       AM,Probation
CRUELTY TO PERSONS,Person
ALTERING OR REMOVING IDENT NUMBER      F,Order
CRIM VIOL OF PROTECTIVE ORDER         AM,Order
POSSESSING CHILD PORNOGRAPH            F,Person
OPERATING UNDER SUSPENDED LIC OR REG.  M,Order
CREDIT CARD THEFT,Property
"BURGLARY, FIRST DEGREE                BF",Property
"MANSLAUGHTER, SECOND DEGREE           CF",Person
EVADING RESPONSIBILITY                 M,Person
"ASSAULT, THIRD DEGREE                 AM",Person
"LARCENY, FIFTH DEGREE                 BM",Property
SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F,Drugs
ARREST WITHOUT WARRANT,Order
CRIMINAL IMPERSONATION                BM,Person
"ROBBERY, SECOND DEGREE                CF",Property
POSSESSION OF NARCOTICS,Drugs
"SEX ASLT, SPOUSE/COHAB RELATIONSHIP   BF",Person
TAMPERING WITH OR FABRICATING EVIDNC  DF,Order
INJURY/RISK OF INJURY TO MINOR- SEXUAL C,Person
"FAILURE TO APPEAR, SECOND DEGREE      AM",Order
FELONY MURDER                         AF,Person
PROBATION AND CONDITIONAL DISCHARGE,Probation
ILL POSSESS CHILD PORN 2ND DEG         F,Person
CRIM VIOL RES ORDER                   AM,Order
STRANGULATION 1ST DEGREE              CF,Person
"BURGLARY, FIRST DEGREE: 53A101A(2)    BF",Property
"RECKLESS ENDANGERMENT, SECOND DEGREE  BM",Person
SELLING WEAPONS TO ALIENS PROHIBITED   F,Weapons
(REPEALED) 53-048,Order
ESCAPE FROM CUSTODY,Order
"KIDNAPPING, FIRST DEGREE              AF",Person
PERMIT TO SELL OR CARRY PISTOL,Weapons
CARRYING WEAPON IN A MOTOR VEHICLE     F,Weapons
"CRIMINAL MISCHIEF, SECOND DEGREE      AM",Person
53A021,Order
BREACH OF PEACE                       BM,Person
CONVEY UNAUTHZD ITEMS INTO INST       DF,Property
"MANSLAUGHTER, FIRST DEGREE, FIREARM   BF",Person
AGGAVTD SEX ASSLT-VCTM < 13YR         AF,Person
"ROBBERY, FIRST DEGREE                BF",Property
MANSLAUGHTER 2ND WITH MV (INTOX)      CF,Person
CARRYING OR SALE OF DANGEROUS WEAPON,Weapons
"CRIMINAL MISCHIEF, FIRST DEGREE       DF",Person
ASSAULT 2ND WITH MV WHILE INTOXICATED DF,Person
DRUG PARAPHERNALIA IN DRUG FACTORY     F,Drugs
ORGANIZED RETAIL THEFT                 F,Property
OPERATE UNDER INFLU OF LIQ OR DRUGS,Drugs
CAPITAL FELONY                         F,Person
PROMOTING MINOR IN OBSCENE PERFORMNCE BF,Person
CRIMINAL LIABILITY FOR ANOTHER PERSON,Person
"MANSLAUGHTER, FIRST DEGREE            BF",Person
OBSCENITY                             BM,Person
IDENTITY THEFT 3RD DEGREE             DF,Person
"CRIMINAL TRESPASS, SECOND DEGREE      BM",Property
"ASSAULT 2ND, VICTIM 60+, WITH FIREARM DF",Person
"ESCAPE, FIRST DEGREE                  CF",Order
PRIMARY OFFENSE NOT DETERMINED,Order
THREATENING 1ST DEGREE                DF,Person
NEGLG STORAGE OF A FIREARM            DF,Weapons
"CRIMINAL TRESPASS, FIRST DEGREE       AM",Property
USING MOTOR VEHICLE W/O PERMISSION,Property
DISORDERLY CONDUCT                    CM,Person
"LARCENY, SIXTH DEGREE                 CM",Property
"UNLAWFUL RESTRAINT, SECOND DEGREE     AM",Person
BRIBERY OF WITNESS                    DF,Person
"KIDNAPPING, 2ND DEGREE                BF",Person
"SEXUAL ASSAULT, THIRD DEGREE          DF",Person
CARRY PIST/RVOLV W/O PERMIT,Weapons
"SEXUAL ASSAULT, FOURTH DEGREE         AM",Person
INTIMIDATING A WITNESS                CF,Person
"CUSTODIAL INTERFERENCE, FIRST DEGREE  DF",Person
"STALKING, 2ND DEGREE                  AM",Person
MANUF OR POSSESSION OF BURGLAR TOOLS  AM,Property
HARASSMENT 1ST DEGREE                 DF,Person
INTIMIDATE DUE TO BIAS 3RD DEG        AM,Person
CRIM VIOL CIVIL PROTECTION ORDER      DF,Order
EMPLOYING MINOR IN OBSCENE PERFORMNCE AF,Person
IDENTITY THEFT 1ST DEGREE             BF,Person
VOYEURISM,Person
KIDNAPPING 2ND DEG W/ FIREARM         BF,Person
USING MACHINE GUN IN CRIME             F,Weapons
FALSELY REPORTING INCIDENT,Person
OPERATE UNDER INFLU OF LIQ OR DRUGS    M,Drugs
ILLEGAL MANUFACTUAL OR SALE OF DRUGS,Drugs
THEFT FROM PERSON                      F,Property
DISSEMINATING VOYEURISTIC MATERIAL    DF,Person
"CRIMINAL MISCHIEF, THIRD DEGREE       BM",Person
MISCONDUCT WITH A MOTOR VEHICLE       DF,Person
IMPORTING CHILD PORNOGRAPHY            F,Person
SEARCHES AND SEIZURES,Property
POSS OF WEAPON IN A CCI               BF,Weapons
SALE OF CONTROLLED SUBSTANCE           F,Drugs
"ARSON, THIRD DEGREE                   CF",Property
PROHIB ACTS RE: DRUG PARAPHERNALIA,Drugs
KIDNAPPING 1ST DEG W/ FIREARM         AF,Person
RECKLESS BURNING                      DF,Property
TAMPERING WITH WITNESS                DF,Person
"ASSAULT, ON DOC EMPLOYEE              BF",Person
LEAV CHILD UNSUPERV IN PUBL/MOT VEH    C,Person
TRAFFICKING IN PERSONS                BF,Person
"ARSON, SECOND DEGREE                  BF",Property
RECKLESS DRIVING                       M,Person
"TELEPHONE FRAUD, 1ST DEGREE           BF",Person
PUBLIC INDECENCY                      BM,Person
IL POS LRG CAP MAG OBT AF 4/13        DF,Weapons
MANUFACTURE OF BOMBS                  BF,Weapons
MISREP OF SUB AS CONTROLLED SUB       DF,Drugs
INTIMIDATION BSD BIGOTRY/BIAS         DF,Person
"BURGLARY, SECOND DEGREE WITH FIREARM  CF",Property
CRUELTY TO ANIMALS,Person
VIO DEADLY WEAPON REGIST REQS         DF,Weapons
CRIMINAL USE OF A FIREARM             DF,Weapons
REG PERSON WHO COMM OFF AGAINST MINOR DF,Person
POSSESS OF HALLUC OR 4+ OZ MARIJUANA   F,Drugs
REG PERSON WHO COMM SEX VIOL OFF      DF,Person
INJUNCTION AND RESTRAINING ORDER,Order
"FORGERY, THIRD DEGREE                 BM",Property
"CRIMINAL TROVER, 1ST DEGREE            F",Property
FAILURE TO OBEY AN OFFICER,Order
POSS OF ASSAULT WEAPON PROHIBITED,Weapons
"CRIMINAL MISCHIEF, FOURTH DEGREE      CM",Person
FAILURE TO PAY OR PLEAD                M,Order
USE OF MACHINE GUN IN A CRIME  DELETED F,Weapons
FOLLOW TOO CLOSELY W/ INTENT TO HARASS M,Person
PURGE CIVIL COMMITMENT,Order
INTERFERING WITH AN EMERGENCY CALL    AM,Person
ABUSE OF PERSONS-1ST DEGREE           CF,Person
"PROMOTING PROSTITUTION, FIRST DEGREE  BF",Person
DRINKING WHILE OPERATING MOTOR VEHICL CM,Person
FLR KEEP NARC IN ORG CONTAINER         F,Drugs
ILLEGAL REFUSAL OF DNA TESTING,Order
"BURGLARY, THIRD DEGREE WITH FIREARM   DF",Property
POSSESSION OF SHOTGUN OR SILENCER     DF,Weapons
"HINDER PROSECUTION, FIRST DEGREE      DF",Order
PROHIBITED ACTIVITIES,Person
DRUGS NEAR PROBIBITED PLACE,Drugs
NEGLIGENT HOMICIDE W/ MOTOR VEHICLE   BM,Person
HINDERING PROSECUTION 2ND DEG,Order
PROSTITUTION                          AM,Person
POSS WEAPON ON SCHOOL GROUNDS         DF,Weapons
"PROMOTING PROSTITUTION, SECOND DEGREE CF",Person
ILL AFFIX FRAUDULENT                   F,Person
UNLAWFUL REPRODUCTION OF CREDIT CARD  DF,Property
DRIVING WHILE LICENSE SUSP FOR DWI,Person
ILLEGAL POSSES OF SHOP LIFTING DEVICE AM,Property
ILLEGAL POSSESSION OF EXPLOSIVES       F,Weapons
"RECEIVING STOLEN PROPERTY, LARCENY     M",Property
AFFIRMATIVE DEFENSES TO CIMINAL TRESPASS,Property
"RAPE, SECOND DEGREE                   CF",Person
ILL POSSESS CHILD PORN 3RD DEG        DF,Person
CRIMINALLY NEGLIGENT HOMICIDE         AM,Person
REGULATION OF RESTRICTED SUBSTANCES,Drugs
APPLICATION TO PURCHASE A FIREARM,Weapons
FOLLOWING TOO CLOSELY,Person
"PROHIB ACTS RE: DRUG PARA, SCHOOL",Drugs
ILLEGAL USE OF CREDIT CARD,Property
